name,latitude,longitude
ION Orchard,1.30397974144505,103.832032328465
Paragon,1.30418212572574,103.835940962553
Ngee Ann City,1.30224168528687,103.835181912297
Plaza Singapura,1.30074770963916,103.845047573431
VivoCity,1.26429316783973,103.82230469365
Suntec City,1.29485990186642,103.860333693777
Marina Bay Sands,1.28399410139205,103.859450636919
Bugis Junction,1.29911287475873,103.855411173758
NEX,1.35076935257845,103.872296143862
Ang Mo Kio Hub,1.36938922690344,103.84847796594
Junction 8,1.3504812534505,103.848760473211
Jurong Point,1.3394520043632,103.706685012926
Jem,1.33329334473462,103.743278742341
Westgate,1.33415767556867,103.742766484424
Clementi Mall,1.31489619639366,103.764423054189
Northpoint City,1.42969848626288,103.835776491468
Causeway Point,1.4360700650803,103.785981524253
Tampines Mall,1.35252737278519,103.944698751072
Century Square,1.35236829566862,103.943812302253
White Sands,1.36563610941695,103.960861814678
Parkway Parade,1.30106975506311,103.905279491524
Paya Lebar Quarter,1.31770886898996,103.893414663597
