id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,review_scores_rating_missing,review_scores_accuracy_missing,review_scores_cleanliness_missing,review_scores_checkin_missing,review_scores_communication_missing,review_scores_location_missing,review_scores_value_missing,is_new_listing,amenities_count,has_air_conditioning,has_pool,has_gym,has_wifi,has_kitchen,has_washer,distance_to_center_km,host_years,name_length,description_length,dist_to_mrt_km,dist_to_mall_km,host_response_score,room_type_Hotel room,room_type_Private room,room_type_Shared room,neighbourhood_group_cleansed_East Region,neighbourhood_group_cleansed_North Region,neighbourhood_group_cleansed_North-East Region,neighbourhood_group_cleansed_West Region,property_type_Campsite,property_type_Entire condo,property_type_Entire guest suite,property_type_Entire guesthouse,property_type_Entire home,property_type_Entire loft,property_type_Entire place,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Entire villa,property_type_Private room,property_type_Private room in barn,property_type_Private room in bed and breakfast,property_type_Private room in bungalow,property_type_Private room in casa particular,property_type_Private room in castle,property_type_Private room in condo,property_type_Private room in earthen home,property_type_Private room in guest suite,property_type_Private room in guesthouse,property_type_Private room in home,property_type_Private room in hostel,property_type_Private room in loft,property_type_Private room in rental unit,property_type_Private room in serviced apartment,property_type_Private room in townhouse,property_type_Private room in train,property_type_Private room in vacation home,property_type_Private room in villa,property_type_Room in aparthotel,property_type_Room in boutique hotel,property_type_Room in hostel,property_type_Room in hotel,property_type_Room in serviced apartment,property_type_Shared room,property_type_Shared room in bed and breakfast,property_type_Shared room in boutique hotel,property_type_Shared room in bungalow,property_type_Shared room in cave,property_type_Shared room in dome,property_type_Shared room in guesthouse,property_type_Shared room in home,property_type_Shared room in hostel,property_type_Shared room in hotel,property_type_Shared room in rental unit,property_type_Tiny home
481789,2386154,1.0,0.99,0.0,1,3,1,0,1.34816,103.93238,2,1.0,1.0,1.0,95.0,180,730,180.0,180.0,730.0,730.0,180.0,730.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,4.75,4.8,4.73,4.93,4.93,4.86,4.6,0,1,0,1,0,0.0,1,1,1,1,1,1,1,1,6,1,0,0,1,1,1,10.7400544233147,13.378082191780821,34,158,0.7347371744435482,1.354273471357156,0.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
606784,813925,1.0,0.99,0.0,1,1,1,0,1.34361,103.95717,2,2.0,1.0,1.0,95.0,92,150,92.0,92.0,150.0,150.0,92.0,150.0,0.0,0,0,0,0,75,0,0,0,0,0,0.0,4.81,4.87,4.79,4.93,4.92,4.59,4.64,0,1,0,1,0,0.55,0,0,0,0,0,0,0,0,22,1,1,1,1,0,1,12.642434773512845,14.221917808219178,48,235,0.42411529311053964,1.7044608323081145,0.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
642660,3212572,1.0,0.99,0.0,1,1,1,0,1.30096,103.85206,2,2.0,1.0,1.0,95.0,180,730,180.0,180.0,730.0,730.0,180.0,730.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,4.75,4.8,4.73,4.93,4.93,4.86,4.6,0,1,0,1,0,0.0,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,2.176028851850146,13.145205479452056,34,7,0.29582323705873925,0.4254053477495914,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
696136,1289033,1.0,0.99,0.0,1,3,1,1,1.30938,103.79812,2,1.0,1.0,1.0,95.0,92,1125,92.0,92.0,1125.0,1125.0,92.0,1125.0,1.0,29,59,89,89,26,0,0,89,0,0,0.0,4.5,4.28,4.48,4.8,4.8,4.88,4.44,0,1,0,1,0,0.16,0,0,0,0,0,0,0,0,7,1,0,0,1,1,1,7.532758431206964,13.967123287671233,37,7,0.37115069239474685,3.7958325396071504,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
733863,3824517,1.0,0.99,0.0,2,2,1,0,1.36926,103.87312,1,1.0,1.0,1.0,95.0,180,365,180.0,180.0,365.0,365.0,180.0,365.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,4.75,4.8,4.73,4.93,4.93,4.86,4.6,0,1,0,1,0,0.0,1,1,1,1,1,1,1,1,9,0,0,0,1,1,1,9.646512899672974,12.975342465753425,21,447,1.6681467284652889,2.058104847604885,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
747813,3926646,0.0,0.99,0.0,4,7,1,1,1.27663,103.84498,4,1.0,1.0,1.0,127.0,92,1123,92.0,92.0,1123.0,1123.0,92.0,1123.0,1.0,23,53,83,358,68,0,0,88,0,0,0.0,4.63,4.67,4.57,4.7,4.82,4.91,4.5,1,4,1,3,0,0.43,0,0,0,0,0,0,0,0,27,1,1,1,1,1,1,1.9027917580695977,12.947945205479453,49,378,0.08319171504706126,1.8050768753976874,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
747816,3926646,0.0,0.99,0.0,4,7,1,1,1.27585,103.84597,4,1.0,1.0,1.0,127.0,92,1124,92.0,92.0,1124.0,1124.0,92.0,1124.0,1.0,30,60,90,365,25,0,0,95,0,0,0.0,4.56,4.44,4.32,4.76,4.88,4.96,4.28,1,4,1,3,0,0.16,0,0,0,0,0,0,0,0,29,1,1,1,1,1,1,1.8401574236392848,12.947945205479453,49,386,0.08364609790443893,1.7509698397730233,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
756267,1584407,1.0,0.99,0.0,5,5,1,1,1.30416,103.90076,2,1.0,1.0,1.0,95.0,92,365,92.0,92.0,365.0,365.0,92.0,365.0,1.0,0,0,0,0,70,0,0,0,0,0,0.0,4.73,4.74,4.75,4.84,4.77,4.74,4.66,0,4,2,2,0,0.45,0,0,0,0,0,0,0,0,17,1,0,0,1,1,1,5.0160659355223345,13.728767123287671,19,237,0.5000393861886472,0.6086829135331149,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
765579,2413412,0.89,0.67,0.0,91,182,1,1,1.2841,103.84253,1,2.0,1.0,1.0,47.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,1.0,27,57,87,362,2,0,0,92,0,0,0.0,4.0,3.0,3.0,4.0,4.5,4.0,3.0,1,91,2,89,0,0.01,0,0,0,0,0,0,0,0,26,1,0,0,1,1,1,2.0214038473270315,13.36986301369863,50,318,0.10377667710239225,1.872177814549577,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
815685,1439258,1.0,0.99,0.0,50,88,1,1,1.29065,103.80941,1,2.0,1.0,1.0,67.0,180,999,180.0,180.0,1125.0,1125.0,180.0,1125.0,1.0,0,0,0,0,16,0,0,0,0,0,0.0,4.13,3.88,4.25,4.25,4.44,4.25,3.88,1,49,0,49,0,0.11,0,0,0,0,0,0,0,0,28,1,0,0,1,1,1,5.758458187290594,13.854794520547944,46,547,0.5704510191238112,2.9191356307338943,4.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
